nombre,mc_guardado,mc_hoy,desc_guardado,desc_hoy,precio_ini,precio_fin,precio_fin_hoy
A Short Hike,82.0,82.0,0.0,0.0,9299.0,9299.0,9299.0
Age of Empires II: Definitive Edition,84.0,84.0,0.0,0.0,34900.0,34900.0,34900.0
Age of Empires IV: Anniversary Edition,81.0,81.0,0.0,0.0,36999.0,36999.0,36999.0
Amnesia: The Bunker,,,0.0,0.0,28299.0,28299.0,28299.0
Apex Legends™,88.0,88.0,,,,,
Assetto Corsa,85.0,85.0,75.0,75.0,22799.0,5699.0,5699.0
Baba Is You,87.0,87.0,0.0,0.0,15499.0,15499.0,15499.0
Back 4 Blood,77.0,77.0,0.0,0.0,119900.0,119900.0,119900.0
Battlefield™ V,,,90.0,90.0,119900.0,11990.0,11990.0
Company of Heroes 3,81.0,81.0,60.0,60.0,61900.0,24760.0,24760.0
Cult of the Lamb,82.0,82.0,0.0,0.0,39900.0,39900.0,39900.0
Dead Space,87.0,87.0,75.0,75.0,139900.0,34975.0,34975.0
Destiny 2,83.0,83.0,,,,,
DiRT Rally 2.0,84.0,84.0,30.0,30.0,23399.0,16379.0,16379.0
Dorfromantik,,,0.0,0.0,14999.0,14999.0,14999.0
Euro Truck Simulator 2,79.0,79.0,0.0,0.0,24499.0,24499.0,24499.0
FINAL FANTASY XIV Online,83.0,83.0,0.0,0.0,27500.0,27500.0,27500.0
Farming Simulator 22,,,0.0,0.0,31900.0,31900.0,31900.0
Forza Horizon 5,,,0.0,0.0,139900.0,139900.0,139900.0
Frostpunk,84.0,84.0,80.0,80.0,33499.0,6699.0,6699.0
Gotham Knights,,,0.0,0.0,99900.0,99900.0,99900.0
Inscryption,85.0,85.0,0.0,0.0,29000.0,29000.0,29000.0
Katana ZERO,83.0,83.0,0.0,0.0,17899.0,17899.0,17899.0
Kerbal Space Program,88.0,88.0,75.0,75.0,44999.0,11249.0,11249.0
Kerbal Space Program 2,,,0.0,0.0,56499.0,56499.0,56499.0
Need for Speed™ Heat,72.0,72.0,90.0,90.0,159900.0,15990.0,15990.0
Outer Wilds,85.0,85.0,0.0,0.0,26999.0,26999.0,26999.0
Oxygen Not Included,85.0,85.0,0.0,0.0,22599.0,22599.0,22599.0
"Papers, Please",85.0,85.0,0.0,0.0,12399.0,12399.0,12399.0
Path of Exile,86.0,86.0,,,,,
Phasmophobia,,,0.0,0.0,22900.0,22900.0,22900.0
PowerWash Simulator,,,0.0,0.0,37500.0,37500.0,37500.0
Resident Evil Village,83.0,83.0,75.0,0.0,55900.0,13975.0,55900.0
Starfield,,,0.0,0.0,99900.0,99900.0,99900.0
Subnautica,87.0,87.0,0.0,0.0,59500.0,59500.0,59500.0
Team Fortress 2,92.0,92.0,,,,,
Total War: THREE KINGDOMS,85.0,85.0,0.0,0.0,52900.0,52900.0,52900.0
Unpacking,83.0,83.0,60.0,60.0,39900.0,15960.0,15960.0
Warframe,69.0,69.0,,,,,
XCOM® 2,88.0,88.0,0.0,0.0,39900.0,39900.0,39900.0
